City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
234,Oranjemund,-28.55,16.4333,60.28,95,7,4.47,NA,2021-12-13 03:27:39,clear sky
235,Mosnita Noua,45.7172,21.3253,36.18,99,90,3.0,RO,2021-12-13 03:27:39,mist
236,Pacific Grove,36.6177,-121.9166,54.43,84,90,1.01,US,2021-12-13 03:24:57,light rain
237,Aksu,41.1231,80.2644,21.74,66,23,1.28,CN,2021-12-13 03:27:40,few clouds
238,Baykit,61.67,96.37,-27.17,99,30,1.81,RU,2021-12-13 03:27:40,scattered clouds
239,Calolziocorte,45.7954,9.4377,41.29,70,69,3.65,IT,2021-12-13 03:27:41,broken clouds
240,Roald,62.5833,6.1333,45.09,70,75,12.66,NO,2021-12-13 03:27:41,broken clouds
241,Nouakchott,18.0858,-15.9785,72.9,29,100,13.65,MR,2021-12-13 03:27:41,overcast clouds
242,La Ronge,55.1001,-105.2842,1.65,85,90,1.14,CA,2021-12-13 03:27:42,overcast clouds
243,Pangnirtung,66.1451,-65.7125,-3.84,70,85,6.42,CA,2021-12-13 03:27:42,overcast clouds
244,Along,28.1667,94.7667,63.19,47,23,0.49,IN,2021-12-13 03:27:42,few clouds
245,Cobourg,50.2667,10.9667,40.98,97,100,1.43,DE,2021-12-13 03:27:43,overcast clouds
246,Yeppoon,-23.1333,150.7333,87.58,58,13,16.42,AU,2021-12-13 03:27:43,few clouds
247,Svetlaya,46.5389,138.3297,21.9,53,100,16.53,RU,2021-12-13 03:27:43,overcast clouds
248,Samarai,-10.6167,150.6667,84.83,74,100,13.98,PG,2021-12-13 03:27:44,overcast clouds
249,Husavik,66.0449,-17.3389,37.31,80,100,15.73,IS,2021-12-13 03:27:44,overcast clouds
250,Norman Wells,65.282,-126.8329,-2.16,71,75,13.8,CA,2021-12-13 03:27:44,light snow
251,Hvolsvollur,63.7533,-20.2243,35.82,91,100,9.44,IS,2021-12-13 03:27:45,overcast clouds
252,Dong Hoi,17.4833,106.6,70.9,81,100,17.27,VN,2021-12-13 03:27:45,overcast clouds
253,Malakal,9.5334,31.6605,74.79,31,88,4.34,SS,2021-12-13 03:27:45,overcast clouds
254,Matara,5.9485,80.5353,76.01,90,100,8.75,LK,2021-12-13 03:27:45,overcast clouds
255,Mae Hong Son,19.3003,97.9685,69.94,83,20,2.3,TH,2021-12-13 03:27:46,few clouds
256,Chokurdakh,70.6333,147.9167,-35.82,96,99,0.98,RU,2021-12-13 03:27:46,overcast clouds
257,Andenes,69.3143,16.1194,33.78,93,90,9.22,NO,2021-12-13 03:27:46,light intensity drizzle
258,Kassala,15.451,36.4,71.37,51,0,8.52,SD,2021-12-13 03:27:47,clear sky
259,Kavieng,-2.5744,150.7967,83.77,74,95,8.77,PG,2021-12-13 03:27:47,moderate rain
260,Baoma,31.4859,106.1128,50.43,67,36,3.83,CN,2021-12-13 03:27:47,scattered clouds
261,Auki,-8.7676,160.7034,83.57,84,86,12.48,SB,2021-12-13 03:27:48,overcast clouds
262,Naze,28.3667,129.4833,59.92,69,94,16.73,JP,2021-12-13 03:27:48,overcast clouds
263,Tonantins,-2.8731,-67.8022,74.19,98,100,2.73,BR,2021-12-13 03:27:48,overcast clouds
264,Mizdah,31.4451,12.9801,47.88,73,98,7.18,LY,2021-12-13 03:27:49,overcast clouds
