City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
374,Zhuhai,CN,68.97,22.2769,113.5678,few clouds,Nanyang Seascape Hotel Zhuhai Hotel
375,San Patricio,US,64.26,28.017,-97.5169,clear sky,"Motel 6 Sinton, TX"
377,Cabo San Lucas,MX,73.15,22.8909,-109.9124,scattered clouds,Hotel Tesoro Los Cabos
378,Kruisfontein,ZA,66.88,-34.0033,24.7314,overcast clouds,Oyster Bay House Rental
380,Scarborough,GB,53.08,54.2797,-0.4044,overcast clouds,The Grand Hotel Scarborough
382,Gobabis,,66.16,-22.45,18.9667,few clouds,Goba Lodge
387,Ginda,IN,53.91,30.6945,78.4932,overcast clouds,Bal uma sankar hotel and restaurant
388,Villa Sandino,NI,69.06,12.0483,-84.9936,few clouds,Salón Rossmary
390,Mulege,MX,62.31,26.8833,-111.9833,broken clouds,Casa Granada
392,Kuala Terengganu,MY,76.95,5.3302,103.1408,scattered clouds,Hotel Grand Continental Kuala Terengganu (4 Star)
394,Nouadhibou,MR,62.58,20.931,-17.0347,scattered clouds,El Medina
395,Santa Pola,ES,54.5,38.1917,-0.5658,few clouds,OYO Hotel Polamar
397,San Cristobal,VE,69.98,7.7669,-72.225,broken clouds,Posada Villaven C.A.
402,Port Macquarie,AU,75.88,-31.4333,152.9167,clear sky,Rydges Port Macquarie
404,Lompoc,US,53.13,34.6391,-120.4579,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
406,Itacarambi,BR,71.11,-15.1022,-44.0919,overcast clouds,POUSADA CAMALEÃO
409,Ierapetra,GR,55.44,35.01,25.7353,clear sky,Cretan Villa Hotel & Apartments in Ierapetra Crete.
412,Mitzic,GA,68.94,0.7821,11.549,overcast clouds,Motel Emys
413,Jinxiang,CN,54.09,27.4327,120.6062,overcast clouds,Wolong Village
414,Butembo,CD,58.51,0.15,29.2833,overcast clouds,Hotel Butembo
418,Maroantsetra,MG,74.39,-15.4333,49.7333,overcast clouds,Annexe Vatsy Hôtel
421,Christchurch,NZ,65.48,-43.5333,172.6333,light rain,The George
424,Grootfontein,,60.37,-19.5667,18.1167,scattered clouds,Meteor Travel Inn
428,Kirundo,BI,65.17,-2.5833,30.1667,light rain,Maranatha Hotel
429,Haimen,CN,67.89,23.1935,116.6142,overcast clouds,Jinghao Business Hotel
431,Puerto Ayacucho,VE,76.66,5.6639,-67.6236,scattered clouds,Posada Turistica Manapiare
433,Damietta,EG,64.29,31.4165,31.8133,overcast clouds,SULIMAN INN
434,Vallenar,CL,61.66,-28.5708,-70.7581,clear sky,Humacao Bed & Breakfast
438,Ambilobe,MG,79.63,-13.2,49.05,clear sky,Hôtel & Restaurant DIANA Ambilobe
439,Santarem,BR,77.13,-2.4431,-54.7083,scattered clouds,Ecotur Lodge
440,Tulum,MX,78.85,20.2167,-87.4667,clear sky,Kin Ha Tulum
442,Atar,MR,68.36,20.5169,-13.0499,broken clouds,Oumou Elghoura
444,Xinyang,CN,50.27,32.1228,114.0656,clear sky,Jinjiang Inn Style Xinyang Dongfanghong Avenue Culture Center
446,Huangchuan,CN,51.39,32.1272,115.0394,clear sky,Guangzhou International Hotel
454,Calabozo,VE,77.31,8.9242,-67.4293,scattered clouds,Hotel Giardini
459,Marawi,PH,75.65,7.9986,124.2928,overcast clouds,Derogongan Residence
460,Menongue,AO,62.38,-14.6585,17.691,moderate rain,Ritz Lauca
