City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,Oktyabrskoye,43.0645,44.7417,28.54,100,75,4.47,RU,2021-12-11 06:01:22
139,Bima,-8.4667,118.7167,85.8,75,96,0.51,ID,2021-12-11 06:01:23
140,Faanui,-16.4833,-151.75,80.74,76,37,12.86,PF,2021-12-11 06:01:23
141,Tommot,58.9564,126.2925,-3.8,96,100,1.39,RU,2021-12-11 06:01:23
142,Redcar,54.6166,-1.06,38.35,84,42,3.0,GB,2021-12-11 06:01:24
143,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.99,78,23,9.98,BR,2021-12-11 06:01:24
144,Dunedin,-45.8742,170.5036,50.81,91,100,4.0,NZ,2021-12-11 06:01:24
145,Kahului,20.8947,-156.47,72.97,89,31,13.65,US,2021-12-11 06:00:19
146,Guiratinga,-16.3494,-53.7583,74.14,76,100,2.73,BR,2021-12-11 06:01:25
147,Lazaro Cardenas,17.9583,-102.2,74.21,88,8,3.56,MX,2021-12-11 06:01:25
148,Kaitangata,-46.2817,169.8464,55.92,56,99,11.48,NZ,2021-12-11 06:01:26
149,Luderitz,-26.6481,15.1594,64.6,70,0,8.08,NA,2021-12-11 06:01:26
150,Qaanaaq,77.484,-69.3632,-4.43,73,45,7.34,GL,2021-12-11 06:01:27
151,Kaeo,-35.1,173.7833,71.33,88,92,7.78,NZ,2021-12-11 06:01:27
152,Cotonou,6.3654,2.4183,79.14,83,37,4.94,BJ,2021-12-11 06:01:27
153,Ust-Omchug,61.15,149.6333,-32.26,97,39,0.98,RU,2021-12-11 06:01:28
154,Bambous Virieux,-20.3428,57.7575,83.21,63,24,12.91,MU,2021-12-11 06:01:28
155,Lompoc,34.6391,-120.4579,51.93,77,1,1.01,US,2021-12-11 06:01:29
156,Irbeyskoye,55.6428,95.4522,16.05,76,100,5.97,RU,2021-12-11 06:01:29
157,Ihosy,-22.4,46.1167,78.24,58,81,8.21,MG,2021-12-11 06:01:29
158,Uhlove,44.8215,33.6045,52.57,80,68,14.81,UA,2021-12-11 06:01:30
159,Tuktoyaktuk,69.4541,-133.0374,-6.83,97,100,7.52,CA,2021-12-11 06:01:30
160,Fortuna,40.5982,-124.1573,43.14,74,1,5.01,US,2021-12-11 06:01:31
161,Maniitsoq,65.4167,-52.9,24.12,63,100,9.1,GL,2021-12-11 06:01:31
162,Lagoa,39.05,-27.9833,63.16,82,0,17.29,PT,2021-12-11 06:01:31
163,Guarapari,-20.6667,-40.4975,71.89,91,2,5.75,BR,2021-12-11 06:01:32
164,Port Elizabeth,-33.918,25.5701,75.09,81,36,13.4,ZA,2021-12-11 06:01:32
165,Songea,-10.6833,35.65,72.32,64,9,8.12,TZ,2021-12-11 06:01:33
166,Leshukonskoye,64.8989,45.7622,11.23,88,99,7.92,RU,2021-12-11 06:01:33
167,Hilo,19.7297,-155.09,71.8,1,72,1.59,US,2021-12-11 06:01:34
168,Roald,62.5833,6.1333,32.32,74,0,5.75,NO,2021-12-11 06:01:34
169,Tabuk,17.4189,121.4443,80.64,69,71,6.76,PH,2021-12-11 06:01:34
170,Carutapera,-1.195,-46.02,77.45,87,73,6.73,BR,2021-12-11 06:01:35
171,Narsaq,60.9167,-46.05,26.82,74,100,3.58,GL,2021-12-11 06:01:35
172,Saskylakh,71.9167,114.0833,-20.47,98,100,9.62,RU,2021-12-11 06:01:35
173,Praia Da Vitoria,38.7333,-27.0667,63.75,89,3,13.18,PT,2021-12-11 06:01:36
174,Ahipara,-35.1667,173.1667,72.27,78,86,9.26,NZ,2021-12-11 06:01:36
175,Tandil,-37.3217,-59.1332,62.31,87,96,6.13,AR,2021-12-11 06:00:02
176,Guerrero Negro,27.9769,-114.0611,58.96,70,30,10.13,MX,2021-12-11 06:01:37
177,Ramban,33.25,75.25,56.44,18,2,4.94,IN,2021-12-11 06:01:37
